nombre,direccion,ciudad,lat,lng,precision,horario,fuente
Parque Deportivo de Ibagué,"Parque Deportivo · Ibagué Solidaria",Ibagué,4.42698,-75.18320,exact,,Alcaldía de Ibagué
Gobernación del Tolima,"Primer piso de la sede de la Gobernación del Tolima",Ibagué,4.44377,-75.24213,approximate,7:00 a. m. - 6:00 p. m.,Gobernación del Tolima
Cortolima,"Sede de Cortolima en Ibagué",Ibagué,4.43000,-75.21000,approximate,7:00 a. m. - 6:00 p. m.,Cortolima
